zone_datetime,timestamp,carbon_intensity_avg,fossilFuelPercentage
2022-08-02T20:00:00.000Z,1659475812.0,582.0,81.33
2022-08-02T21:00:00.000Z,1659478512.0,577.0,80.79
2022-08-02T22:00:00.000Z,1659482111.5,574.0,80.55
2022-08-02T23:00:00.000Z,1659485712.0,577.0,80.87
2022-08-03T00:00:00.000Z,1659489312.0,584.0,81.7
2022-08-03T01:00:00.000Z,1659492912.0,587.0,82.08
2022-08-03T02:00:00.000Z,1659496511.0,588.0,82.37
2022-08-03T03:00:00.000Z,1659500111.0,589.0,82.46
2022-08-03T04:00:00.000Z,1659503711.5,591.0,82.63
2022-08-03T05:00:00.000Z,1659507311.0,592.0,82.98
2022-08-03T06:00:00.000Z,1659510911.0,589.0,83.07
2022-08-03T07:00:00.000Z,1659514510.5,584.0,82.82
2022-08-03T08:00:00.000Z,1659518111.0,580.0,82.53
2022-08-03T09:00:00.000Z,1659521711.0,578.0,82.34
2022-08-03T10:00:00.000Z,1659525314.0,576.0,82.29
2022-08-03T11:00:00.000Z,1659528912.5,577.0,82.36
2022-08-03T12:00:00.000Z,1659531612.0,577.0,82.31
2022-08-03T14:00:00.000Z,1659540746.0,577.0,81.92
2022-08-03T15:00:00.000Z,1659543448.5,576.0,81.56
2022-08-03T17:00:00.000Z,1659550649.0,585.0,81.89
2022-08-03T18:00:00.000Z,1659554247.5,588.0,82.19
2022-08-03T19:00:00.000Z,1659557846.5,586.0,81.93
2022-08-03T20:00:00.000Z,1659562344.0,582.0,81.36
2022-08-03T21:00:00.000Z,1659565045.0,577.0,80.81
2022-08-03T22:00:00.000Z,1659568644.5,574.0,80.58
2022-08-03T23:00:00.000Z,1659572244.0,577.0,80.89
2022-08-04T00:00:00.000Z,1659575845.0,584.0,81.72
2022-08-04T01:00:00.000Z,1659579444.5,585.0,84.8
2022-08-04T02:00:00.000Z,1659583044.0,590.0,85.34
2022-08-04T03:00:00.000Z,1659587544.0,607.0,87.03
2022-08-04T04:00:00.000Z,1659590244.0,610.0,86.58
2022-08-04T05:00:00.000Z,1659593843.0,604.0,85.98
2022-08-04T06:00:00.000Z,1659597442.5,589.0,83.09
2022-08-04T07:00:00.000Z,1659601943.0,584.0,82.83
2022-08-04T08:00:00.000Z,1659604642.5,580.0,82.54
2022-08-04T09:00:00.000Z,1659608243.0,578.0,82.35
2022-08-04T10:00:00.000Z,1659611843.0,576.0,82.3
2022-08-04T11:00:00.000Z,1659615443.0,577.0,82.37
2022-08-04T12:00:00.000Z,1659619044.0,578.0,82.34
2022-08-04T13:00:00.000Z,1659622644.5,578.0,82.29
2022-08-04T14:00:00.000Z,1659626243.0,575.0,83.18
2022-08-04T15:00:00.000Z,1659629843.5,592.0,84.54
2022-08-04T16:00:00.000Z,1659633444.0,595.0,85.04
2022-08-04T17:00:00.000Z,1659637046.0,590.0,85.46
2022-08-04T18:00:00.000Z,1659640645.0,599.0,86.5
2022-08-04T19:00:00.000Z,1659644371.0,600.0,86.04
2022-08-04T20:00:00.000Z,1659647843.5,600.0,85.2
2022-08-04T21:00:00.000Z,1659651443.0,587.0,83.9
2022-08-04T22:00:00.000Z,1659655043.0,575.0,82.83
2022-08-04T23:00:00.000Z,1659658644.0,571.0,82.2
2022-08-05T00:00:00.000Z,1659662244.0,570.0,83.15
2022-08-05T01:00:00.000Z,1659665843.5,578.0,84.46
2022-08-05T02:00:00.000Z,1659669443.0,579.0,84.83
2022-08-05T03:00:00.000Z,1659673043.5,594.0,86.36
2022-08-05T04:00:00.000Z,1659676643.0,599.0,85.98
2022-08-05T05:00:00.000Z,1659680242.5,590.0,85.06
2022-08-05T06:00:00.000Z,1659683843.0,587.0,84.53
2022-08-05T07:00:00.000Z,1659687443.0,587.0,84.89
2022-08-05T08:00:00.000Z,1659691042.5,585.0,84.73
2022-08-05T09:00:00.000Z,1659694643.0,581.0,84.66
2022-08-05T10:00:00.000Z,1659698244.0,578.0,84.61
2022-08-05T11:00:00.000Z,1659701842.5,579.0,84.79
2022-08-05T12:00:00.000Z,1659706343.0,587.0,85.15
2022-08-05T13:00:00.000Z,1659709043.5,587.0,84.02
2022-08-05T14:00:00.000Z,1659712644.0,564.0,82.54
2022-08-05T15:00:00.000Z,1659716243.5,582.0,83.8
2022-08-05T16:00:00.000Z,1659719844.0,587.0,84.56
2022-08-05T17:00:00.000Z,1659723444.0,586.0,85.07
2022-08-05T18:00:00.000Z,1659727044.0,589.0,85.55
2022-08-05T19:00:00.000Z,1659730644.0,591.0,85.2
2022-08-05T20:00:00.000Z,1659734243.5,595.0,85.01
2022-08-05T21:00:00.000Z,1659737843.5,587.0,84.04
2022-08-05T22:00:00.000Z,1659741443.5,574.0,82.86
2022-08-05T23:00:00.000Z,1659745043.5,571.0,82.51
2022-08-06T00:00:00.000Z,1659748644.5,568.0,83.12
2022-08-06T01:00:00.000Z,1659752243.0,577.0,84.44
2022-08-06T02:00:00.000Z,1659755843.0,578.0,84.82
2022-08-06T03:00:00.000Z,1659759443.0,592.0,86.41
2022-08-06T04:00:00.000Z,1659763043.0,594.0,85.94
2022-08-06T05:00:00.000Z,1659766643.0,587.0,85.02
2022-08-06T06:00:00.000Z,1659770242.0,578.0,84.47
2022-08-06T07:00:00.000Z,1659773843.0,574.0,84.19
2022-08-06T08:00:00.000Z,1659777443.0,572.0,84.02
2022-08-06T09:00:00.000Z,1659781043.0,569.0,83.86
2022-08-06T10:00:00.000Z,1659784642.5,566.0,83.91
2022-08-06T11:00:00.000Z,1659788242.5,567.0,84.06
2022-08-06T12:00:00.000Z,1659791843.0,574.0,84.4
2022-08-06T13:00:00.000Z,1659795443.5,575.0,83.42
2022-08-06T14:00:00.000Z,1659799044.0,561.0,82.41
2022-08-06T15:00:00.000Z,1659802643.0,576.0,83.41
2022-08-06T16:00:00.000Z,1659806242.5,582.0,84.32
2022-08-06T17:00:00.000Z,1659809843.0,581.0,84.87
2022-08-06T18:00:00.000Z,1659813443.0,587.0,85.41
2022-08-06T19:00:00.000Z,1659817043.5,592.0,85.35
2022-08-06T20:00:00.000Z,1659820643.0,588.0,84.26
2022-08-06T21:00:00.000Z,1659824243.0,579.0,83.34
2022-08-06T22:00:00.000Z,1659827843.0,566.0,82.23
2022-08-06T23:00:00.000Z,1659831443.5,565.0,82.22
2022-08-07T00:00:00.000Z,1659835043.0,564.0,82.98
2022-08-07T01:00:00.000Z,1659838643.5,574.0,84.35
2022-08-07T02:00:00.000Z,1659842244.0,577.0,84.74
2022-08-07T03:00:00.000Z,1659845843.0,587.0,86.21
2022-08-07T04:00:00.000Z,1659849442.5,589.0,85.76
2022-08-07T05:00:00.000Z,1659853042.0,584.0,84.81
